Ref,Val,Package,PosX,PosY,Rot,Side
"R1","220","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",79.750000,-112.500000,90.000000,bottom
"R2","220","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",92.340000,-109.190000,90.000000,bottom
"R3","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",82.300000,-112.500000,90.000000,bottom
"R4","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",94.880000,-109.220000,90.000000,bottom
"R5","220","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",105.140000,-105.990000,90.000000,bottom
"R6","220","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",118.330000,-103.110000,90.000000,bottom
"R7","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",107.390000,-105.970000,90.000000,bottom
"R8","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",120.620000,-103.090000,90.000000,bottom
"R9","220","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",130.880000,-103.130000,90.000000,bottom
"R10","220","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",144.160000,-105.710000,90.000000,bottom
"R11","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",133.620000,-103.140000,90.000000,bottom
"R12","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",146.500000,-105.710000,90.000000,bottom
"R13","220","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",156.920000,-108.610000,90.000000,bottom
"R14","220","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",168.720000,-111.690000,90.000000,bottom
"R15","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",159.330000,-108.670000,90.000000,bottom
"R16","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",171.180000,-111.680000,90.000000,bottom
"U1","KTIR0711S","KTIR0711S",79.000000,-107.500000,270.000000,bottom
"U2","KTIR0711S","KTIR0711S",92.000000,-104.500000,270.000000,bottom
"U3","KTIR0711S","KTIR0711S",105.000000,-101.500000,270.000000,bottom
"U4","KTIR0711S","KTIR0711S",118.000000,-98.500000,270.000000,bottom
"U5","KTIR0711S","KTIR0711S",131.000000,-98.500000,270.000000,bottom
"U6","KTIR0711S","KTIR0711S",144.000000,-101.500000,270.000000,bottom
"U7","KTIR0711S","KTIR0711S",157.000000,-104.500000,270.000000,bottom
"U8","KTIR0711S","KTIR0711S",168.470000,-107.450000,270.000000,bottom
