"Id";"Oznaczenie";"Obudowa";"Ilość";"Oznaczenie";"Dostawca i numer artykułu";
1;"J6,J7,J3";"PinSocket_1x06_P2.54mm_Vertical";3;"Conn_01x06";;;
2;"J5,J4";"PinSocket_1x08_P2.54mm_Vertical";2;"Conn_01x08";;;
3;"U3";"LQFP-64_10x10mm_P0.5mm";1;"STM32F401RCTx";;;
4;"C6";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";1;"4,7uF";;;
5;"C15";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"10nF";;;
6;"C1,C2,C3,C4,C5,C7,C8,C10,C11,C13";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";10;"100nF";;;
7;"C9";"CP_Elec_4x5.4";1;"10uF";;;
8;"C12";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";1;"4.7uF";;;
9;"C14,C18";"CP_Elec_6.3x5.4";2;"100uF";;;
10;"C17";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";1;"100nF";;;
11;"D1,D2";"LED_D5.0mm";2;"LED";;;
12;"J1";"JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical";1;"Conn_01x02";;;
13;"J2";"PinSocket_1x05_P2.54mm_Vertical";1;"Conn_01x05";;;
14;"J8";"PinHeader_2x06_P2.54mm_Vertical";1;"Conn_02x06_Odd_Even";;;
15;"Q1,Q2";"SOT-23";2;"IRLML9301";;;
16;"R1,R4";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"1k";;;
17;"R2";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"10k";;;
18;"R3,R5";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"100k";;;
19;"R6,R7";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"330";;;
20;"SW1,SW3";"TactSwitchSMD";2;"SW_Push";;;
21;"SW2";"Przelacznik";1;"SW_SPDT";;;
22;"U1";"SOT-223-3_TabPin2";1;"LM1117-5.0";;;
23;"U2";"SOT-223-3_TabPin2";1;"LM1117-3.3";;;
